Total_Assets,Total_Liabilities,Revenue,Operating_Expenses,Net_Income,Cash_Flow_Operating,Cash_Flow_Investing,Cash_Flow_Financing,Current_Ratio,Debt_to_Equity,Gross_Margin,Return_on_Assets,Return_on_Equity,Financial_Status
-0.2488870635698747,0.17266064960570596,0.4558131959111643,0.3164685740012524,-1.0632070117012855,0.4304935914130317,0.3842362102083677,0.5062064883326544,-0.9633308058670605,0.8403258151355173,-0.383690169495547,0.16445923702557005,0.37650887758708135,Normal
0.8895676203064704,0.64366998258486,0.38906488015705587,-0.7989988178860511,-1.0716557333548211,-0.6637675863782475,-0.06477910087657006,-0.4622473961402217,-1.0012814070658884,0.9079137916332992,-0.7861959523806556,0.7535671241936863,-0.1796144676009009,High Risk
0.45740104826737976,0.5523249865771066,-0.8079533955072831,-0.483753204903385,-0.09234041470646981,-0.3385347774072561,-0.9132640185712126,0.32257994729492173,-0.5620127189129062,-0.9934122472843407,-0.7239912849230502,0.512168215319625,-0.44783987883949333,Normal
0.1939453442032446,-0.670939845451431,0.8651967434275948,0.5483383336539284,-1.0115530791470664,0.29665602552839826,0.8642048315702701,0.412764478699272,0.6049843070156313,-0.3648695028507284,-0.6168797254220924,0.7144788295690104,0.23278507276636123,Normal
-0.6806606591037123,-0.680323119809007,0.14863922334245874,0.07246380238368547,0.9499251239359032,-0.06681889833287229,0.9915586802607712,-0.29600870675295665,0.8189744361110275,0.681083135515227,-0.5715552237988634,-0.8496940126711158,0.4851665859190566,Normal
-0.6807083176911851,-0.4403660066875426,-0.26568636263347184,0.8480301544963902,-0.6115303375845423,0.44769072869206555,-0.14002983348661333,-0.036183198070586044,-0.22224656761279,0.07612509662483637,-0.4954132787306895,-0.3488696826989926,-0.500090223445034,Normal
-0.8741691398047204,-0.25291912019931545,0.5292105384027402,-0.12164852602602003,-0.09150773674996325,0.8943066539706316,0.236181920752708,-0.17861003405496642,0.1257143726711491,0.621037606171009,-0.4693843271223752,-0.3477361922394109,-0.409178777781586,Normal
0.7225298268427773,-0.1573178340928359,-0.4809166906512095,0.7350667850611894,-0.9454733101127153,-0.8001079413149551,-0.10036199772686387,0.9094937901022602,0.4156726479365297,0.7131374959472463,-0.07444758037678775,0.30724222637740006,0.2823573393239118,Normal
0.1987991633283982,0.3899717653736477,0.401665504824839,-0.08240428820817494,0.01096903448757383,0.38950923329016385,-0.3649190994111368,-0.3463914365346883,0.9167862629713994,-0.11247695963674914,0.03176653390018177,-0.09625702347513856,0.9415075910138873,Normal
0.41013515282141166,-0.8671014933371488,-0.9213620476420213,0.9476347318848207,-0.2838886430882012,-0.5718269601814246,-0.8687411522285612,-0.6198793428560178,0.8355871060918109,-0.2806230432140849,-0.36403335893023125,0.5403776778526093,-0.5826812456651287,Normal
